,,,,,,,
,,,Division â†’,,,,
,,,,,,,
Voice,1,2,,1,2,,
Module,A,B,cell duration,,,,
,12,45,3,4,15,,
,56,35,7,8,5,,
,32,32,4,8,8,,
,6,10,2,3,5,,
,25,40,5,5,8,,
,65,40,5,13,8,,
,15,9,3,5,3,,
Duration (quarters),211,211,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Voice,1,2,,1,2,,
Module,Fl,Str,cell dur 8ths,,,,
,2,,2,1,,,
,510,,30,17,,,
,0,30,6,,5,,
,0,112,14,,8,,
,0,64,8,,8,,
,0,12,4,,3,,
,0,110,10,,11,,
,0,130,10,,13,,
,0,30,6,,5,,
,,488,,,,,
,2,,2,1,,,
,510,,30,17,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,,,,,,,
,,,,,,,
,2,,2,1,,,
,510,,30,17,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,0,,,,,,
,,,,,,,
,,,,,,256,256
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Duration (quarters),,,,,,,
